,Unnamed: 0,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
70,70,"BABYFOOD,MEAT,TURKEY,JR",80.32,111,11.5,6.2,0.58,1.4,0.0,0.0,41.0,0.7,12.0,117.0,135.0,49.0,1.77,0.148,0.037,12.0,0.0,0.008,0.163,2.61,0.41,0.029,8.0,0.0,8.0,8.0,39.8,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,34.0,0.0,1.641,2.384,1.741,58.0
753,753,"ICE CREAMS,CHOC,LT,NO SUGAR ADDED",62.99,173,3.54,5.74,0.94,26.79,0.9,5.65,121.0,0.48,15.0,106.0,196.0,75.0,0.4,0.018,0.009,2.9,0.7,0.044,0.18,0.111,0.414,0.042,5.0,0.0,5.0,5.0,11.7,0.38,264.0,75.0,74.0,0.0,10.0,0.0,0.0,0.0,0.3,0.1,4.0,3.6,3.61,0.93,0.527,16.0
30,30,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99,3.98,1.15,0.93,18.64,0.0,18.64,138.0,0.06,13.0,109.0,177.0,53.0,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.446,0.037,9.0,0.0,9.0,9.0,15.2,0.43,40.0,11.0,11.0,0.0,2.0,0.0,0.0,0.0,0.02,0.0,1.0,0.1,0.742,0.316,0.033,5.0
86,86,"BABYFOOD,JUC,APPL,W/CA",88.3,46,0.06,0.1,0.48,11.1,0.4,9.0,127.0,0.2,6.0,8.0,92.0,3.0,0.03,0.01,0.29,0.1,21.2,0.02,0.02,0.08,0.06,0.03,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.005,0.032,0.0
784,784,"FAST FOODS,CHICK FILLET SNDWCH,PLN W/ PICKLES",48.94,250,16.28,11.19,2.7,20.89,1.4,3.64,58.0,1.77,24.0,185.0,245.0,753.0,0.61,0.067,0.219,19.9,0.8,0.23,0.3,7.72,1.2,0.383,47.0,12.0,35.0,56.0,35.3,0.13,32.0,3.0,2.0,2.0,12.0,6.0,0.0,78.0,2.41,0.1,5.0,8.5,2.123,4.481,3.177,35.0
408,408,"BEANS,SHELLIE,CND,SOL & LIQUIDS",90.69,30,1.76,0.19,1.17,6.19,3.4,0.63,29.0,0.99,15.0,30.0,109.0,334.0,0.27,0.08,0.382,2.1,3.1,0.032,0.054,0.205,0.133,0.049,18.0,0.0,18.0,18.0,13.2,0.0,228.0,11.0,0.0,0.0,137.0,0.0,0.0,331.0,0.03,0.0,0.0,8.0,0.023,0.014,0.11,0.0
580,580,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",62.1,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,482,"YAM,RAW",69.6,118,1.53,0.17,0.82,27.88,4.1,0.5,17.0,0.54,21.0,55.0,816.0,9.0,0.24,0.178,0.397,0.7,17.1,0.112,0.032,0.552,0.314,0.293,23.0,0.0,23.0,23.0,16.5,0.0,138.0,7.0,0.0,0.0,83.0,0.0,0.0,0.0,0.35,0.0,0.0,2.3,0.037,0.006,0.076,0.0
856,856,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,ALL GRDS,RAW",73.43,121,23.37,3.04,1.1,0.0,0.0,0.0,13.0,1.45,12.0,222.0,319.0,53.0,3.42,0.042,0.001,22.6,0.0,0.063,0.184,6.72,0.355,0.644,4.0,0.0,4.0,4.0,64.2,1.84,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.086,1.266,0.233,60.0
635,635,"BEVERAGES,TEA,HERB,BREWED,CHAMOMILE",99.7,1,0.0,0.0,0.01,0.2,0.0,0.0,2.0,0.08,1.0,0.0,9.0,1.0,0.04,0.015,0.044,0.0,0.0,0.01,0.004,0.0,0.011,0.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.005,0.0
