,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot,Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),class
337,"PORK,FRSH,LEG (HAM),RUMP HALF,LN&FAT,CKD,RSTD",61.92,209,27.03,10.32,1.17,0,0,0,16,0.9,25,255,416,77,2.31,0.112,0.016,25,0,0.489,0.379,7.444,0.859,0.501,0,0,0,0,92.8,0.67,10,3,3,0,0,0,0,0,0.27,0.4,17,0,3.369,4.322,2.198,85,1
338,"PORK,FRSH,LEG (HAM),RUMP HALF,LN,RAW",74.78,120,21.81,2.93,1.12,0,0,0,12,0.67,22,235,359,76,1.85,0.08,0.01,21.2,0,0.545,0.34,6.042,0.658,0.557,0,0,0,0,75,0.36,7,2,2,0,0,0,0,0,0.16,0.3,11,0,0.947,1.148,0.615,62,1
339,"PORK,FRSH,LEG (HAM),RUMP HALF,LN,CKD,RSTD",65.75,165,28.86,4.62,1.24,0,0,0,16,0.97,27,273,425,80,2.48,0.116,0.018,26.6,0,0.523,0.408,7.94,0.903,0.538,0,0,0,0,99.2,0.67,2,1,1,0,0,0,0,0,0.26,0.3,12,0,1.451,1.878,1.066,86,1
340,"PORK,FRSH,LEG (HAM),SHANK HALF,LN&FAT,RAW",67.69,193,19.87,11.96,1.03,0,0,0,12,0.69,19,204,329,84,2.02,0.131,0.022,19.5,0,0.47,0.307,5.75,0.594,0.475,0,0,0,0,68.2,0.54,20,6,6,0,0,0,0,0,0.31,0.5,20,0,3.942,5.067,2.412,67,1
341,"PORK,FRSH,LEG (HAM),SHANK HALF,LN&FAT,CKD,RSTD",60.37,232,25.96,13.42,1.1,0,0,0,15,0.87,22,242,345,81,2.42,0.119,0.017,26.4,0,0.411,0.352,7.457,0.83,0.442,0,0,0,0,90.3,0.5,14,4,4,0,0,0,0,0,0.23,0.6,22,0,4.609,5.819,2.44,91,1
342,"PORK,FRSH,LEG (HAM),SHANK HALF,LN,RAW",74.88,119,21.66,2.95,1.11,0,0,0,12,0.77,21,224,329,90,2.25,0.142,0.026,21.3,0,0.522,0.343,6.273,0.622,0.531,0,0,0,0,74.4,0.51,9,3,3,0,0,0,0,0,0.29,0.3,11,0,0.917,1.214,0.605,66,1
343,"PORK,FRSH,LEG (HAM),SHANK HALF,LN,CKD,RSTD",65.28,175,28.69,5.83,1.2,0,0,0,14,0.92,24,261,376,84,2.67,0.123,0.019,28.6,0,0.44,0.373,8.082,0.877,0.478,0,0,0,0,98.6,0.5,4,1,1,0,0,0,0,0,0.26,0.4,15,0,1.837,2.482,1.13,93,1
344,"PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",67.64,194,19.56,12.27,1,0,0,0,35,0.66,17,207,288,69,2.56,0.082,0.008,29.4,0,0.499,0.314,6.704,1.046,0.427,0,0,0,0,67.2,0.55,20,6,6,0,0,0,0,0,0.21,0.7,29,0,4.27,4.913,1.941,63,1
345,"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN&FAT,CKD,BRSD",57.32,255,26.54,15.71,1.13,0,0,0,51,0.81,19,213,259,69,3.11,0.098,0.011,41.8,0,0.486,0.316,7.381,0.944,0.488,0,0,0,0,81.4,0.62,13,4,4,0,0,0,0,0,0.2,1,39,0,4.487,5.067,1.948,86,1
346,"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN&FAT,CKD,BRLD",61.45,231,23.72,14.35,1.16,0,0,0,56,0.87,20,241,315,74,3.15,0.105,0.01,36.4,0,0.49,0.313,7.927,1.104,0.489,0,0,0,0,67.5,0.66,15,4,4,0,0,0,0,0,0.21,1,40,0,4.339,4.887,1.894,78,1
347,"PORK,FRSH,LOIN,BLADE (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",58.74,254,24.29,16.71,1.1,0,0,0,31,0.81,19,194,318,76,3.21,0.094,0.016,38.7,0,0.482,0.379,6.705,1.331,0.436,0,0,0,0,83,0.79,12,4,4,0,0,0,0,0,0.22,0.9,35,0,5.9,6.684,2.465,83,1
348,"PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN,RAW",72.84,143,21.22,5.84,1.07,0,0,0,30,0.71,18,226,313,73,2.74,0.081,0.009,31.6,0,0.54,0.338,7.113,1.115,0.466,0,0,0,0,72.9,0.53,9,3,3,0,0,0,0,0,0.18,0.6,22,0,1.974,2.301,0.805,59,1
349,"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN,CKD,BRLD",65.03,193,24.99,9.56,1.21,0,0,0,55,0.91,21,255,332,76,3.34,0.105,0.011,38.5,0,0.513,0.329,8.218,1.145,0.517,0,0,0,0,71,0.66,8,2,2,0,0,0,0,0,0.23,0.9,36,0,2.322,2.707,0.947,78,1
350,"PORK,FRSH,LOIN,BLADE (ROASTS),BONE-IN,LN,CKD,RSTD",62.24,217,25.7,11.89,1.14,0,0,0,27,0.85,19,203,337,78,3.41,0.093,0.018,41.2,0,0.505,0.403,6.882,1.398,0.46,0,0,0,0,88.3,0.8,4,1,1,0,0,0,0,0,0.24,0.8,31,0,3.934,4.572,1.524,83,1
351,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BONE-IN,LN & FAT,RAW",69.7,170,20.71,9.03,0.96,0,0,0,19,0.63,25,209,343,55,1.77,0.063,0.007,33.8,0,0.485,0.189,6.619,0.704,0.697,0,0,0,0,55.8,0.53,6,2,2,0,0,0,0,0,0.12,0.5,21,0,2.993,3.548,1.19,69,1
352,"PORK,FRSH,LOIN,CNTR LOIN (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",60.26,231,27.01,12.8,1.14,0,0,0,33,0.89,20,213,350,83,3.53,0.103,0.018,42.6,0,0.536,0.422,7.42,1.478,0.485,0,0,0,0,92.4,0.87,15,4,4,0,0,0,0,0,0.21,0.6,25,0,4.859,5.478,2.073,76,1
353,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BONE-IN,LN,RAW",73.62,127,21.99,3.71,1.01,0,0,0,18,0.65,26,220,362,58,1.86,0.066,0.008,36,0,0.51,0.198,6.934,0.732,0.742,0,0,0,0,58.5,0.5,0,0,0,0,0,0,0,0,0.13,0.4,14,0,1.098,1.346,0.415,69,1
354,"PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",67.83,186,20.28,11.04,0.95,0,0,0,25,0.59,23,203,337,56,1.85,0.065,0.008,35.5,0,0.456,0.177,6.331,0.693,0.682,0,0,0,0,54.8,0.54,8,2,2,0,0,0,0,0,0.12,0.7,26,0,2.365,2.756,0.964,58,1
355,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRSD",56.85,261,26.66,16.28,1.07,0,0,0,53,0.81,19,213,259,70,3.1,0.101,0.011,41.5,0,0.492,0.318,7.505,0.962,0.491,0,0,0,0,91,0.64,16,5,5,0,0,0,0,0,0.19,0.9,37,0,5.435,6.088,2.397,79,1
356,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRLD",61.66,222,24.42,13.04,0.97,0,0,0,28,0.68,24,209,329,55,2.15,0.084,0.006,42.8,0,0.541,0.21,7.478,0.632,0.637,0,0,0,0,70,0.58,8,2,2,0,0,0,0,0,0.11,0.9,35,0,4.486,5.41,1.593,67,1
357,"PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",57.76,248,26.99,14.68,1.09,0,0,0,19,0.96,21,230,272,91,2.91,0.085,0.007,40.2,0,0.522,0.295,9.49,1.478,0.485,0,0,0,0,92.2,0.87,16,5,5,0,0,0,0,0,0.21,0.7,29,0,5.442,6.183,2.474,78,1
358,"PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BONE-IN,LN,RAW",72.4,136,21.79,4.8,1.01,0,0,0,24,0.61,25,216,359,60,1.97,0.068,0.009,38.3,0,0.484,0.186,6.685,0.725,0.735,0,0,0,0,57.9,0.5,0,0,0,0,0,0,0,0,0.13,0.5,19,0,1.617,1.999,0.524,56,1
359,"PORK,FRSH,LOIN,SIRLOIN (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",70.29,168,20.48,8.96,0.95,0,0,0,14,0.82,23,209,336,57,1.95,0.088,0.012,29.2,0,0.492,0.277,6.093,0.839,0.756,0,0,0,0,79.2,0.56,6,2,2,0,0,0,0,0,0.22,0.5,22,0,1.851,2.157,0.754,70,1
